locus_tag,fitness
SPD_0001,0
SPD_0002,0.297008248215896
SPD_0003,0.481195332471997
SPD_0004,0.346221276748123
SPD_0005,0.403013688444033
SPD_0006,0.411941995498904
SPD_0007,0.495193692181988
SPD_0008,0
SPD_0009,0.491633944632422
SPD_0010,0.292112879212906
SPD_0011,0
SPD_0012,0.408574011675184
SPD_0013,0
SPD_0014,1
SPD_0023,0.531532586083168
SPD_0024,0.262920899391853
SPD_0025,0.430103781588002
SPD_0027,0.459368937845531
SPD_0028,0.597981677679874
SPD_0029,1
SPD_0030,0.505501780319795
SPD_0031,0.596415512113106
SPD_0032,0.97922266593788
SPD_0033,0
SPD_0035,0.62683142473836
SPD_0036,1
SPD_0037,0.482661496393918
SPD_0038,0.0135168205983643
SPD_0039,0.500598855561315
SPD_0040,0.571877719324774
SPD_0041,0.356102847563152
SPD_0042,0.357673534155698
SPD_0043,0.325689834796829
SPD_0044,0.471464902747875
SPD_0046,0.497019824346036
SPD_0047,1
SPD_0049,0.571839571166762
SPD_0050,0.611604561015179
SPD_0051,0.542053144233959
SPD_0052,0.537682028690529
SPD_0053,0.540366992390707
SPD_0054,0.491137420961083
SPD_0055,0.496222137861856
SPD_0056,0.863994986934987
SPD_0057,0.543218667500593
SPD_0058,0.663234384592075
SPD_0059,0.451640711451794
SPD_0060,0.460741571757937
SPD_0061,0.641783807404464
SPD_0062,0.270514760926986
SPD_0063,0.725628786946002
SPD_0064,0.46077646896351
SPD_0065,0.594872496529599
SPD_0066,0.559169745240133
SPD_0067,0.816683548531316
SPD_0068,0.709905350594412
SPD_0069,0.524008010993029
SPD_0070,0.708855926676431
SPD_0071,0.590040471329362
SPD_0072,1
SPD_0073,1
SPD_0074,0.518605698095421
SPD_0075,1
SPD_0076,0.724412241893317
SPD_0077,0.524176761347921
SPD_0078,1
SPD_0079,1
SPD_0080,1
SPD_0081,0.592285965445727
SPD_0082,0.495931434588568
SPD_0083,0.38818303711716
SPD_0084,1
SPD_0085,0.499760384819886
SPD_0086,0.518283742211619
SPD_0087,0.50812552250506
SPD_0088,0.839514683243082
SPD_0089,0.608826874521112
SPD_0090,0.632708031498836
SPD_0091,0.505842731405423
SPD_0092,0.658125151916167
SPD_0093,0.788049374503596
SPD_0094,0.599448262450986
SPD_0095,0.529878092263708
SPD_0096,0.534339904339928
SPD_0097,0.793731644370211
SPD_0098,0.335156802598928
SPD_0099,0.156930084821303
SPD_0101,0.729869144158319
SPD_0102,0.417437804825452
SPD_0103,0.433953681404657
SPD_0104,0.569110147864905
SPD_0105,0.503716403055488
SPD_0106,1
SPD_0107,0.858566300172657
SPD_0108,0.547170220349615
SPD_0109,0.541776312715124
